0,1.55,0
0,0.35,0
0,1.55,0
0,1.55,0
0,1.55,204
0,1.55,0
0,0.75,204
0,0.75,0
0,1.25,0
0,1.55,204
0,0.95,0|0
0.08;0.03,0.35,200
0,0.75,204
0,1.55,204
0,1.55,204
0,0.95,0|0
0.4;0.2;0.04;0.04,1.25,200
0.8;0.04;0.01,1.25,200
0,0.75,204|204
0.04,0.75,204|200
0,0.35,0
0,0.95,0|0
0,0.75,204|204
0.12,0.95,200|200
0,0.35,0
0,0.75,0
0.43;0.13;0.01,0.75,200
0,0.35,0
0,0.95,0|0
0.79,1.25,200
0,1.25,0
0,0.75,0|0
0,1.25,0
0,0.75,0
0,0.75,204|204
0,0.75,0
0,0.95,0|0
0,1.25,0
0,1.55,204
3.64;0.8;0.04,0.75,200
0.07,1.55,200
0,0.75,204
0,0.35,204
0,0.75,0|0
0,0.75,0|0
0.01,1.25,200
0,0.95,0|0
0,0.95,0|0
0,0.75,0|0
0,0.35,204
0.6,1.25,200
0,0.95,204|204
0.07,1.55,200
0,0.95,0|0
0,1.25,204
0,0.35,0
0,0.35,0
0,1.25,0
0,0.95,0|0
0,1.55,0
0,0.35,0
0,0.95,0|0
0,1.55,204
0,0.35,0
0,0.75,0|0
0,0.35,0
0,0.95,0|0
1.23;0.16;0.14;0.11,1.55,200
0.02,0.75,200|200
0,1.55,0
0,0.75,204
0,0.75,0
0,0.75,204|204
0,0.75,204|204
0,1.55,0
0,1.25,0
0,0.75,0|0
0,1.55,0
1;0.12;0.08;0.02,0.95,200
0.02,0.75,200|200
0,0.35,0
0,0.95,0|0
0,1.25,204
0,0.75,0
2.36;1.04;0.36;0.21;0.07,0.95,200
0.08,1.25,200
0,0.75,204|204
0,0.75,0
0,0.95,0|0
0,0.35,0
0,1.55,0
0,1.55,204
0,0.75,0
0,1.55,0
0,1.55,0
0,1.55,0
0,1.25,0
0.08,0.35,200
0,1.55,0
0,1.25,0
0,0.95,0|0
0,1.55,204
0,0.75,0|0
0,0.75,0
0,0.75,204|204
0,0.95,0|0
0,0.75,0
0,0.95,0|0
0,0.35,0
0,0.75,204|204
0,1.25,0
0,0.35,0
0.84;0.72;0.36;0.22;0.16,1.25,200
0.28;0.03,0.35,200
0,0.75,0
0,0.95,0|0
0,1.25,0
0,0.35,204
0,0.95,0|0
0,1.25,0
0,0.95,0|0
0,0.75,0|0
0.07,0.95,200|200
0.12;0.01,0.75,200|200
0,1.25,204
0,0.95,0|0
0.05,0.95,200|200
0,0.75,204|204
0,0.35,0
0,0.75,200|204
0,0.75,0|0
0,1.55,0
0,1.55,0
0,1.25,0
0,1.55,204
0,0.75,200|204
0,0.95,0|0
0,0.75,0
0,0.95,0|0
1.5;0.2;0.06;0.02,1.25,200
0,0.35,204
0,1.55,0
0,1.25,0
0,0.75,204
0,0.35,204
0,0.95,204|204
0,0.75,0
0,1.55,0
0.36;0.25;0.07,1.55,200
0,0.75,0
0,1.55,204
0,1.55,204
0.02,1.25,200
0,0.95,0|0
0,1.25,0
0,0.75,0|0
0,0.75,204|204
0,0.95,0|0
0,0.95,0|0
0.05;0.01,0.75,200|200
0,1.25,0
0,0.75,0
0,1.55,0
0,1.25,0
0,0.95,204|204
0,1.25,0
0,0.35,0
0,0.95,0|0
0,0.95,0|0
0,0.75,0
0,1.25,0
0,0.35,0
0,1.55,0
0,0.35,0
0,0.75,0|0
0,0.75,204|204
0,0.35,0
0,0.75,0
0,1.25,0
0,0.75,0|0
0,1.55,204
0.01,0.95,200|200
0,0.95,0|0
0,1.55,0
0,0.75,204
0,0.35,204
0.24,0.75,200|200
0,0.75,0|0
0,1.25,204
0,0.95,0|0
0,1.25,0
0,0.75,204|204
0,0.75,0|0
0,1.55,204
0,1.25,204
0,0.75,204|204
0,1.25,0
0,1.25,0
0,0.75,0
0,0.75,0
0,0.75,0
0,1.55,0
0,0.75,204|204
0.8;0.3;0.14;0.07;0.07,1.25,200
0,0.75,204|204
0,0.35,0
1.01;0.07,0.95,200
0,0.75,0|0
0,0.35,204
0,0.95,0|0
0,1.55,0
0,0.95,204|204
0,0.75,0
0,0.95,204|204
0,0.75,0|0
0,0.95,0|0
0,0.75,0
0,0.95,0|0
0,0.75,0|0
0,0.75,0
0,0.95,204|204
0,0.75,204
0,1.55,0
0,0.95,0|0
0,0.35,0
0,0.75,204
0,0.75,0
0,0.75,0|0
0,0.75,0|0
0,1.25,0
0,0.75,204
0,0.35,0
0,0.95,200|204
0,0.75,0
0,0.75,0
0,0.75,0|0
0,1.55,0
0.04,1.25,200
0,1.55,0
0,0.75,0
0,0.75,0
0,0.35,0
0,1.25,0
0.35,0.75,200|200
0,0.95,0|0
0,0.35,204
0,0.35,204
0,0.75,0
0,0.75,0
0,1.55,0
0,0.75,0
0,0.35,204
1.04;0.34;0.12;0.03,0.95,200
0,0.95,0|0
0,0.75,204
0,1.25,0
0.8,1.25,200
0,0.75,0
0,0.75,0
0,0.35,0
0,0.75,204|204
0,0.95,0|0
0,1.25,0
0,0.75,0|0
0,1.55,204
1.2;0.08;0.06,0.75,200
0,1.25,204
0,0.75,0
0,1.55,0
0.27;0.08;0.04,0.95,200|200
0,1.25,0
0,1.25,0
0,0.75,0|0
0,1.25,204
0.15;0.05,0.75,200|200
0,0.75,0
0,1.55,0
0,1.55,0
0,0.75,0
0.13;0.04;0.03,1.25,200
0,0.95,0|0
0,0.75,0
0,1.25,204
0,0.35,0
0,0.75,0
0,0.35,204
0,1.25,0
0,0.95,204|204
0,0.35,0
0,1.25,0
0.52,0.75,200
0,0.35,0
0,1.25,0
0,0.75,0
0,0.75,0|0
0,0.75,0
0,0.75,0|0
0,0.35,0
0,0.95,0|0
0,0.35,0
0,0.95,0|0
0,0.35,0
0,0.75,0
0.8;0.05,1.25,200
0,1.55,204
0,0.75,0
0,0.75,0|0
0.04,0.75,200
0,0.75,0
0,1.55,204
0,0.95,204|204
0,0.95,204|204
0,0.35,0
0.26;0.01,0.35,200
0,1.25,0
0,1.25,204
0,1.25,0
0,0.35,0
0,1.55,204
0.18,0.95,200|200
0,0.95,204|204
0,1.55,0
0,0.35,0
0,1.25,0
0,1.25,0
0,0.35,204
