PlacementId,Date,Network,Order,Rule,GlobalChain,GlobalType,GlobalImpressions,GlobalServed,GlobalIncome,GlobalFill,GlobalEcpm,GlobalRcpm,ExperimentChain,ExperimentType,ExperimentImpressions,ExperimentServed,ExperimentIncome,ExperimentFill,ExperimentEcpm,ExperimentRcpm
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,Aol,1,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o3=0.8:o21=0.6,Learning,107,1,0,0.009345794,0,0,o1=0.8:o15=0.6,LearningExperiment,469,11,0.0086,0.02345416,0.7818182,0.01833689
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o8=1.4,Learning,731,9,0.0109,0.0123119,1.211111,0.01491108,o16=1.4,LearningExperiment,435,7,0.0344,0.01609195,4.914286,0.07908046
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,OpenX,0,device=mobile,e19=1.4,Learning,1123,14,0.023,0.01246661,1.642857,0.02048085,e30=1.4,LearningExperiment,134,0,0,0,0,0
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,OpenX,0,device=mobile,e5=0.2,Learning,1199,241,0.0559,0.2010008,0.2319502,0.04662219,e3=0.2,LearningExperiment,138,11,0.0024,0.07971015,0.2181818,0.01739131
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o2=0.2,Learning,588,53,0.0098,0.09013605,0.1849057,0.01666667,o7=0.2,LearningExperiment,586,62,0.0152,0.105802,0.2451613,0.02593857
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,OpenX,0,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,824522,24222,18.199,0.02937702,0.7513418,0.02207218,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1309,22,0.014,0.01680672,0.6363637,0.01069519
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,Pubmatic,1,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,680254,15958,7.272,0.02345889,0.4556962,0.01069012,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1092,39,0.018,0.03571429,0.4615384,0.01648352
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,Pubmatic,2,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,564652,3319,1.467,0.005877957,0.4420006,0.002598061,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,4175,162,0.072,0.0388024,0.4444444,0.01724551
cbfd0f7b2f0c9a88093862f041c72407,2015-10-05,OpenX,3,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,605518,13073,6.1651,0.02158978,0.4715903,0.01018153,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1484,43,0.0199,0.02897574,0.4627907,0.0134097
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,OpenX,0,device=mobile,e25=0.8:e20=0.6,Learning,203,3,0.0029,0.01477833,0.9666666,0.01428571,e15=0.8:e34=0.6,LearningExperiment,970,31,0.032,0.03195876,1.032258,0.03298969
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,OpenX,1,device=mobile,e25=0.8:e20=0.6,Learning,898,13,0.0084,0.01447662,0.6461538,0.00935412,e15=0.8:e34=0.6,LearningExperiment,8746,343,0.2701,0.03921793,0.7874635,0.03088269
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o3=0.8:o21=0.6,Learning,660,18,0.0138,0.02727273,0.7666667,0.02090909,o1=0.8:o15=0.6,LearningExperiment,0,0,0,0,0,0
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,Aol,1,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o3=0.8:o21=0.6,Learning,95,5,0,0.05263158,0,0,o1=0.8:o15=0.6,LearningExperiment,368,9,0.0086,0.02445652,0.9555556,0.02336957
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o8=1.4,Learning,769,9,0.0109,0.01170351,1.211111,0.01417425,o16=1.4,LearningExperiment,319,4,0.0086,0.01253918,2.15,0.02695925
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,OpenX,0,device=mobile,e19=1.4,Learning,1185,15,0.0322,0.01265823,2.146667,0.027173,e30=1.4,LearningExperiment,138,0,0,0,0,0
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,OpenX,0,device=mobile,e5=0.2,Learning,1152,234,0.0619,0.203125,0.2645299,0.05373264,e3=0.2,LearningExperiment,92,6,0.0015,0.06521739,0.25,0.01630435
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,Aol,0,device=mobile; geo_country=us; geo_country=ca; geo_country=gb; geo_country=it; geo_country=fr; geo_country=es; geo_country=nl; geo_country=se; geo_country=pl; geo_country=de; geo_country=au; geo_country=jp; geo_country=in; geo_country=br; geo_country=mx,o2=0.2,Learning,535,55,0.0108,0.1028037,0.1963636,0.02018692,o7=0.2,LearningExperiment,584,70,0.0132,0.119863,0.1885714,0.02260274
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,OpenX,0,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,662926,25727,19.0385,0.03880825,0.7400202,0.02871889,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1289,16,0.0102,0.01241272,0.6375,0.007913111
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,Pubmatic,1,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,541619,16379,7.515,0.03024082,0.4588192,0.01387507,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1081,44,0.018,0.04070305,0.4090909,0.01665125
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,Pubmatic,2,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,446454,4020,1.782,0.009004287,0.4432836,0.003991453,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,4218,214,0.099,0.05073494,0.4626168,0.02347084
cbfd0f7b2f0c9a88093862f041c72407,2015-10-06,OpenX,3,device=mobile,e10=0.55:p46=0.45:p40=0.45:e18=0.40,BestChain,478357,11999,5.6661,0.02508378,0.4722143,0.01184492,e35=0.55:p21=0.45:p19=0.45:e28=0.4:e36=0.4,ExperimentClone,1407,48,0.0218,0.03411514,0.4541667,0.01549396
