PlacementId,Date,Network,Order,GlobalChain,GlobalType,GlobalImpressions,GlobalServed,GlobalIncome,GlobalFill,GlobalEcpm,GlobalRcpm,ExperimentChain,ExperimentType,ExperimentImpressions,ExperimentServed,ExperimentIncome,ExperimentFill,ExperimentEcpm,ExperimentRcpm
ad3f290182679590a3d68705b9d324a2,2015-06-17,PulsePoint,2,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,470661,25010,1.25,0.05313803,0.04998001,0.002655839,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,3811,179,0.01,0.0469693,0.05586592,0.002623983
ad3f290182679590a3d68705b9d324a2,2015-06-17,Aol,3,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,428934,39276,2.3908,0.09156653,0.06087178,0.005573818,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,3511,457,0.0258,0.1301623,0.05645514,0.007348334
ad3f290182679590a3d68705b9d324a2,2015-07-09,Pubmatic,0,p6=0.45:p2=0.25,Learning,2813,278,0.207,0.09882688,0.7446043,0.07358692,p13=0.45:p26=0.25,LearningExperiment,1773,152,0.117,0.0857304,0.7697368,0.06598984
ad3f290182679590a3d68705b9d324a2,2015-07-09,Pubmatic,1,p6=0.45:p2=0.25,Learning,2249,250,0.081,0.1111605,0.324,0.03601601,p13=0.45:p26=0.25,LearningExperiment,1432,126,0.036,0.08798882,0.2857143,0.02513966
ad3f290182679590a3d68705b9d324a2,2015-07-09,Aol,0,o22=0.45:o23=0.25,Learning,4729,565,0.3096,0.1194756,0.5479646,0.06546839,o4=0.45:o6=0.25,LearningExperiment,2977,268,0.1462,0.09002351,0.5455224,0.04910984
ad3f290182679590a3d68705b9d324a2,2015-07-09,Aol,1,o22=0.45:o23=0.25,Learning,4006,483,0.129,0.1205691,0.2670807,0.0322017,o4=0.45:o6=0.25,LearningExperiment,2582,269,0.0688,0.1041828,0.2557621,0.02664601
ad3f290182679590a3d68705b9d324a2,2015-07-09,Pubmatic,0,p16=0.01,Learning,2419,1882,0.243,0.7780074,0.129118,0.1004547,p4=0.01,LearningExperiment,1604,1251,0.153,0.7799252,0.1223022,0.09538653
ad3f290182679590a3d68705b9d324a2,2015-07-09,Aol,0,o2=0.01,Learning,5203,4293,0.602,0.8251009,0.1402283,0.1157025,o32=0.01,LearningExperiment,2868,2474,0.2838,0.862622,0.114713,0.09895398
ad3f290182679590a3d68705b9d324a2,2015-07-09,Pubmatic,0,p5=1.05,Learning,3113,178,0.207,0.05717957,1.162921,0.06649534,p18=1.05,LearningExperiment,1496,67,0.081,0.0447861,1.208955,0.05414439
ad3f290182679590a3d68705b9d324a2,2015-07-09,Aol,0,o21=1.05,Learning,3564,275,0.2924,0.07716049,1.063273,0.08204265,o3=1.05,LearningExperiment,2924,174,0.172,0.05950752,0.9885058,0.05882353
ad3f290182679590a3d68705b9d324a2,2015-07-09,Aol,0,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,995086,773111,117.1664,0.7769288,0.1515518,0.117745,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,31799,26576,3.2852,0.8357496,0.1236153,0.1033114
ad3f290182679590a3d68705b9d324a2,2015-07-09,Pubmatic,1,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,201720,29541,4.176,0.1464456,0.1413629,0.02070196,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,4769,469,0.072,0.09834347,0.1535181,0.0150975
ad3f290182679590a3d68705b9d324a2,2015-07-09,PulsePoint,2,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,162981,9168,0.46,0.05625195,0.05017452,0.002822415,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,4078,146,0.01,0.03580187,0.06849315,0.002452182
