chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
pp	0	0	2	0	0	0	0	0.07225
p	0	0	1	0	0	0	0	0.04755
p	0	0	1	0	0	0	0	0.02422
tppt	0	0	2	2	0	0	0	0.1638
t	0	0	0	1	0	0	0	0.0529
t	0	0	0	1	0	0	0	0.05697
t	0	0	0	1	0	0	0	0.05759
tt	0	0	0	2	0	0	0	0.09784
tt	0	0	0	2	0	0	0	0.08172
t	0	0	0	1	0	0	0	0.05657
ptt	0	0	1	2	0	0	0	0.12608
ptpt	0	0	2	2	0	0	0	0.15515
pppt	0	0	3	1	0	0	0	0.14458
pptp	0	0	3	1	0	0	0	0.16356
pttp	0	0	2	2	0	0	0	0.15343
ptt	0	0	1	2	0	0	0	0.09086
pppt	0	0	3	1	0	0	0	0.11788
pptp	0	0	3	1	0	0	0	0.13424
pttp	0	0	2	2	0	0	0	0.12429
ptt	0	0	1	2	0	0	0	0.08594
pppt	0	0	3	1	0	0	0	0.11038
pptp	0	0	3	1	0	0	0	0.12678
pttp	0	0	2	2	0	0	0	0.11932
pt	0	0	1	1	0	0	0	0.08818
pt	0	0	1	1	0	0	0	0.12279
pt	0	0	1	1	0	0	0	0.10656
tptp	0	0	2	2	0	0	0	0.18177
pt	0	0	1	1	0	0	0	0.11575
tptp	0	0	2	2	0	0	0	0.19877
pt	0	0	1	1	0	0	0	0.11256
ptpt	0	0	2	2	0	0	0	0.21395
pt	0	0	1	1	0	0	0	0.13563
ptpt	0	0	2	2	0	0	0	0.19553
pt	0	0	1	1	0	0	0	0.11971
ptpt	0	0	2	2	0	0	0	0.18441
pt	0	0	1	1	0	0	0	0.20572
pt	0	0	1	1	0	0	0	0.13244
pt	0	0	1	1	0	0	0	0.13528
ptppp	0	0	4	1	0	0	0	0.22253
ttppp	0	0	3	2	0	0	0	0.22979
pt	0	0	1	1	0	0	0	0.19714
ptppp	0	0	4	1	0	0	0	0.32737
ttppp	0	0	3	2	0	0	0	0.3188
pt	0	0	1	1	0	0	0	0.19047
ptppp	0	0	4	1	0	0	0	0.27337
ttppp	0	0	3	2	0	0	0	0.28715
pt	0	0	1	1	0	0	0	0.13644
ptppp	0	0	4	1	0	0	0	0.24673
ttppp	0	0	3	2	0	0	0	0.24077
pt	0	0	1	1	0	0	0	0.15708
pt	0	0	1	1	0	0	0	0.21034
ptppp	0	0	4	1	0	0	0	0.23118
ttppp	0	0	3	2	0	0	0	0.24007
ptppp	0	0	4	1	0	0	0	0.23704
ttppp	0	0	3	2	0	0	0	0.24432
ptppp	0	0	4	1	0	0	0	0.32
ttppp	0	0	3	2	0	0	0	0.2799
ptppp	0	0	4	1	0	0	0	0.21155
