chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
tppoe	1	1	2	1	0	0	0	0.09148
wo	0	1	0	0	0	1	0	0.9592
epto	1	1	1	1	0	0	0	0.09609
etpoe	2	1	1	1	0	0	0	0.17767
ottpe	1	1	1	2	0	0	0	0.09756
oet	1	1	0	1	0	0	0	0.06316
tppoe	1	1	2	1	0	0	0	0.10371
wo	0	1	0	0	0	1	0	0.96194
etpoe	2	1	1	1	0	0	0	0.20387
oet	1	1	0	1	0	0	0	0.07912
tppoe	1	1	2	1	0	0	0	0.09346
etpo	1	1	1	1	0	0	0	0.08645
etpoe	2	1	1	1	0	0	0	0.20687
oet	1	1	0	1	0	0	0	0.06594
pote	1	1	1	1	0	0	0	0.08911
tppoe	1	1	2	1	0	0	0	0.10064
etpo	1	1	1	1	0	0	0	0.08383
etpoe	2	1	1	1	0	0	0	0.23245
