chain	DiscrepancyPercent	e	o	p	t	v	w	z
oooe	0.136532084	1	3	0	0	0	0	0
oooet	0.196845426	1	3	0	1	0	0	0
oooo	0.175615018	0	4	0	0	0	0	0
ooooe	0.811730404	1	4	0	0	0	0	0
ooooo	0.156393208	0	5	0	0	0	0	0
oooop	0.228973093	0	4	1	0	0	0	0
ooop	0.152929239	0	3	1	0	0	0	0
ooope	0.074549842	1	3	1	0	0	0	0
ooopo	0.209786433	0	4	1	0	0	0	0
ooopp	0.094204361	0	3	2	0	0	0	0
ooot	0.160214024	0	3	0	1	0	0	0
oooto	0.16510124	0	4	0	1	0	0	0
oootp	0.087747193	0	3	1	1	0	0	0
ooott	0.100812995	0	3	0	2	0	0	0
oop	0.154174506	0	2	1	0	0	0	0
oope	0.175734406	1	2	1	0	0	0	0
oopo	0.075007368	0	3	1	0	0	0	0
oopoo	0.207846085	0	4	1	0	0	0	0
oopop	0.20545086	0	3	2	0	0	0	0
oopp	0.055861498	0	2	2	0	0	0	0
ooppo	0.188834874	0	3	2	0	0	0	0
ooppp	0.175853899	0	2	3	0	0	0	0
oot	0.119454256	0	2	0	1	0	0	0
oote	0.041772131	1	2	0	1	0	0	0
ootoo	0.081149446	0	4	0	1	0	0	0
ootpo	0.14521313	0	3	1	1	0	0	0
ootpp	0.239832928	0	2	2	1	0	0	0
oott	0.145630503	0	2	0	2	0	0	0
ootto	0.161239438	0	3	0	2	0	0	0
oottt	0.158517264	0	2	0	3	0	0	0
op	0.102906083	0	1	1	0	0	0	0
ope	0.072968246	1	1	1	0	0	0	0
opee	0.170313859	2	1	1	0	0	0	0
opet	0.219268216	1	1	1	1	0	0	0
opo	0.079130939	0	2	1	0	0	0	0
opoe	0.108895169	1	2	1	0	0	0	0
opoo	0.040519286	0	3	1	0	0	0	0
opooe	0.241279626	1	3	1	0	0	0	0
opooo	0.246616853	0	4	1	0	0	0	0
opoop	0.242488168	0	3	2	0	0	0	0
opop	0.124083675	0	2	2	0	0	0	0
opopo	0.077531085	0	3	2	0	0	0	0
opopp	0.25193118	0	2	3	0	0	0	0
opp	0.124177435	0	1	2	0	0	0	0
oppo	0.109014675	0	2	2	0	0	0	0
oppoo	0.225571735	0	3	2	0	0	0	0
oppop	0.196050332	0	2	3	0	0	0	0
oppp	0.177007274	0	1	3	0	0	0	0
opppo	0.280384823	0	2	3	0	0	0	0
oppt	0.165303219	0	1	2	1	0	0	0
opt	0.123596811	0	1	1	1	0	0	0
opte	0.17359506	1	1	1	1	0	0	0
opto	0.14475231	0	2	1	1	0	0	0
optoo	0.114441006	0	3	1	1	0	0	0
ote	0.063943574	1	1	0	1	0	0	0
otee	0.39400953	2	1	0	1	0	0	0
otepp	0.093432665	1	1	2	1	0	0	0
oto	0.165146502	0	2	0	1	0	0	0
otopp	0.192388303	0	2	2	1	0	0	0
otot	0.192915321	0	2	0	2	0	0	0
otpe	0.119611231	1	1	1	1	0	0	0
otpo	0.100808048	0	2	1	1	0	0	0
otpoo	0.133787042	0	3	1	1	0	0	0
otppp	0.085548464	0	1	3	1	0	0	0
ott	0.047064532	0	1	0	2	0	0	0
otte	0.135224363	1	1	0	2	0	0	0
otto	0.171959637	0	2	0	2	0	0	0
ottop	0.099599072	0	2	1	2	0	0	0
ottpe	0.093824942	1	1	1	2	0	0	0
ottpp	0.225012529	0	1	2	2	0	0	0
p	0.107230702	0	0	1	0	0	0	0
pe	0.111568538	1	0	1	0	0	0	0
pee	0.210113246	2	0	1	0	0	0	0
peee	0.34989131	3	0	1	0	0	0	0
peeee	0.158584139	4	0	1	0	0	0	0
peeet	0.12918301	3	0	1	1	0	0	0
peep	0.17930306	2	0	2	0	0	0	0
peepe	0.378362558	3	0	2	0	0	0	0
peet	0.132743848	2	0	1	1	0	0	0
peo	0.136761382	1	1	1	0	0	0	0
peop	0.312113118	1	1	2	0	0	0	0
peope	0.252014341	2	1	2	0	0	0	0
peot	0.130047061	1	1	1	1	0	0	0
pep	0.151207028	1	0	2	0	0	0	0
pepe	0.3082018	2	0	2	0	0	0	0
pepee	0.284998891	3	0	2	0	0	0	0
pepp	0.061176414	1	0	3	0	0	0	0
pet	0.118289393	1	0	1	1	0	0	0
peto	0.012942867	1	1	1	1	0	0	0
petp	0.060812635	1	0	2	1	0	0	0
petpe	0.277609813	2	0	2	1	0	0	0
pez	0.070638894	1	0	1	0	0	0	1
po	0.115869474	0	1	1	0	0	0	0
poo	0.130668035	0	2	1	0	0	0	0
pooe	0.029283184	1	2	1	0	0	0	0
pooo	0.060134133	0	3	1	0	0	0	0
poooo	0.248671056	0	4	1	0	0	0	0
pooop	0.24832686	0	3	2	0	0	0	0
poop	0.115195131	0	2	2	0	0	0	0
poopo	0.238033894	0	3	2	0	0	0	0
poopp	0.179793421	0	2	3	0	0	0	0
pop	0.133719598	0	1	2	0	0	0	0
popo	0.14886431	0	2	2	0	0	0	0
popoo	0.248068922	0	3	2	0	0	0	0
popop	0.199430347	0	2	3	0	0	0	0
popp	0.156802028	0	1	3	0	0	0	0
poppo	0.10429579	0	2	3	0	0	0	0
poppp	0.152945647	0	1	4	0	0	0	0
pot	0.115778006	0	1	1	1	0	0	0
pote	0.076892797	1	1	1	1	0	0	0
potp	0.163999613	0	1	2	1	0	0	0
pp	0.133472896	0	0	2	0	0	0	0
ppe	0.167035976	1	0	2	0	0	0	0
ppee	0.231559709	2	0	2	0	0	0	0
ppeee	0.385064156	3	0	2	0	0	0	0
ppeep	0.119488593	2	0	3	0	0	0	0
ppepe	0.210398822	2	0	3	0	0	0	0
ppo	0.161972337	0	1	2	0	0	0	0
ppoe	0.021291016	1	1	2	0	0	0	0
ppoo	0.216833856	0	2	2	0	0	0	0
ppooe	0.238281948	1	2	2	0	0	0	0
ppooo	0.202197278	0	3	2	0	0	0	0
ppoop	0.19178346	0	2	3	0	0	0	0
ppop	0.177447686	0	1	3	0	0	0	0
ppope	0.096420376	1	1	3	0	0	0	0
ppopo	0.171777382	0	2	3	0	0	0	0
ppopp	0.234035443	0	1	4	0	0	0	0
ppot	0.155254422	0	1	2	1	0	0	0
ppp	0.136977892	0	0	3	0	0	0	0
pppe	0.335335248	1	0	3	0	0	0	0
pppee	0.41023097	2	0	3	0	0	0	0
pppo	0.071181022	0	1	3	0	0	0	0
pppoo	0.101563158	0	2	3	0	0	0	0
pppop	0.203478639	0	1	4	0	0	0	0
pppp	0.137537073	0	0	4	0	0	0	0
ppppe	0.258103322	1	0	4	0	0	0	0
ppppo	0.245268454	0	1	4	0	0	0	0
ppppp	0.212294558	0	0	5	0	0	0	0
ppppt	0.47116696	0	0	4	1	0	0	0
pppt	0.178853436	0	0	3	1	0	0	0
ppptp	0.157006016	0	0	4	1	0	0	0
ppptt	0.25498262	0	0	3	2	0	0	0
ppt	0.145714342	0	0	2	1	0	0	0
pptoo	0.107037645	0	2	2	1	0	0	0
pptp	0.352875073	0	0	3	1	0	0	0
pptpp	0.120917719	0	0	4	1	0	0	0
pptpt	0.159911741	0	0	3	2	0	0	0
pptt	0.224113996	0	0	2	2	0	0	0
ppttp	0.248642645	0	0	3	2	0	0	0
ppttt	0.215316951	0	0	2	3	0	0	0
pt	0.152620591	0	0	1	1	0	0	0
ptee	0.212701552	2	0	1	1	0	0	0
pto	0.115839315	0	1	1	1	0	0	0
ptoop	0.162203162	0	2	2	1	0	0	0
ptop	0.085468771	0	1	2	1	0	0	0
ptopp	0.254787379	0	1	3	1	0	0	0
ptopt	0.192563511	0	1	2	2	0	0	0
ptp	0.148988624	0	0	2	1	0	0	0
ptpo	0.216045612	0	1	2	1	0	0	0
ptpop	0.088478612	0	1	3	1	0	0	0
ptpp	0.202934368	0	0	3	1	0	0	0
ptppp	0.243511763	0	0	4	1	0	0	0
ptpt	0.188296875	0	0	2	2	0	0	0
ptt	0.163168578	0	0	1	2	0	0	0
pttp	0.140210845	0	0	2	2	0	0	0
pttpp	0.276524945	0	0	3	2	0	0	0
pttpt	0.198834025	0	0	2	3	0	0	0
pttt	0.2495889	0	0	1	3	0	0	0
ptttp	0.066697585	0	0	2	3	0	0	0
ptttt	0.076178157	0	0	1	4	0	0	0
t	0.073114555	0	0	0	1	0	0	0
tee	0.101899143	2	0	0	1	0	0	0
teee	0.399632456	3	0	0	1	0	0	0
teeee	0.434514328	4	0	0	1	0	0	0
teeet	0.20031476	3	0	0	2	0	0	0
teeo	0.10928393	2	1	0	1	0	0	0
teeoe	0.392011834	3	1	0	1	0	0	0
teeot	0.291810799	2	1	0	2	0	0	0
teep	0.14619966	2	0	1	1	0	0	0
teet	0.149405393	2	0	0	2	0	0	0
teete	0.353693266	3	0	0	2	0	0	0
teo	0.071532543	1	1	0	1	0	0	0
teoe	0.318882912	2	1	0	1	0	0	0
tep	0.034462349	1	0	1	1	0	0	0
tepe	0.233929322	2	0	1	1	0	0	0
teppe	0.129602472	2	0	2	1	0	0	0
tet	0.113981405	1	0	0	2	0	0	0
tete	0.268697031	2	0	0	2	0	0	0
tett	0.097218437	1	0	0	3	0	0	0
tettt	0.074977781	1	0	0	4	0	0	0
toe	0.224089123	1	1	0	1	0	0	0
toeee	0.169361981	3	1	0	1	0	0	0
too	0.144286018	0	2	0	1	0	0	0
tooe	0.172417154	1	2	0	1	0	0	0
tooee	0.190248566	2	2	0	1	0	0	0
tooet	0.096658711	1	2	0	2	0	0	0
tooo	0.147951611	0	3	0	1	0	0	0
tooop	0.153104233	0	3	1	1	0	0	0
tooot	0.141176471	0	3	0	2	0	0	0
toopo	0.106399831	0	3	1	1	0	0	0
toot	0.163100561	0	2	0	2	0	0	0
