code	Placement Id	Actual Data Date	Chain	Impressions	Served	Measured Quantity	Actual	Predicted	Discrepancy
0939f772c7a02d28b6ba319d690e57dd42194e10=1.9:e8=1.9	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e10=1.9:e8=1.9	1069	45	Fill	0.042	0.052	0.10
0939f772c7a02d28b6ba319d690e57dd42195e10=1.9:e8=1.9	0939f772c7a02d28b6ba319d690e57dd	10/07/15	e10=1.9:e8=1.9	775	52	Fill	0.067	0.050	0.10
0939f772c7a02d28b6ba319d690e57dd42196e10=1.9:e8=1.9	0939f772c7a02d28b6ba319d690e57dd	11/07/15	e10=1.9:e8=1.9	832	48	Fill	0.058	0.048	0.10
0939f772c7a02d28b6ba319d690e57dd42194e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	186450	19218	Fill	0.103	0.099	0.44
0939f772c7a02d28b6ba319d690e57dd42195e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	0939f772c7a02d28b6ba319d690e57dd	10/07/15	e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	77864	7934	Fill	0.102	0.097	0.45
0939f772c7a02d28b6ba319d690e57dd42196e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	0939f772c7a02d28b6ba319d690e57dd	11/07/15	e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	33327	3956	Fill	0.119	0.095	0.45
0939f772c7a02d28b6ba319d690e57dd42194e16=1.9:p11=1.85:o9=1.85:e11=1.5	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e16=1.9:p11=1.85:o9=1.85:e11=1.5	20811	1925	Fill	0.092	0.093	0.36
0939f772c7a02d28b6ba319d690e57dd42195e16=1.9:p11=1.85:o9=1.85:e11=1.5	0939f772c7a02d28b6ba319d690e57dd	10/07/15	e16=1.9:p11=1.85:o9=1.85:e11=1.5	9681	1046	Fill	0.108	0.090	0.37
0939f772c7a02d28b6ba319d690e57dd42196e16=1.9:p11=1.85:o9=1.85:e11=1.5	0939f772c7a02d28b6ba319d690e57dd	11/07/15	e16=1.9:p11=1.85:o9=1.85:e11=1.5	8444	873	Fill	0.103	0.088	0.37
0939f772c7a02d28b6ba319d690e57dd42194e18=1.9:e7=1.7	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e18=1.9:e7=1.7	882	43	Fill	0.049	0.059	0.10
0939f772c7a02d28b6ba319d690e57dd42195e18=1.9:e7=1.7	0939f772c7a02d28b6ba319d690e57dd	10/07/15	e18=1.9:e7=1.7	879	55	Fill	0.063	0.057	0.10
0939f772c7a02d28b6ba319d690e57dd42196e18=1.9:e7=1.7	0939f772c7a02d28b6ba319d690e57dd	11/07/15	e18=1.9:e7=1.7	1004	64	Fill	0.064	0.056	0.10
0939f772c7a02d28b6ba319d690e57dd42194e4=2.05:p2=1.85:t11=1.6:o11=1.75	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e4=2.05:p2=1.85:t11=1.6:o11=1.75	2381	220	Fill	0.092	0.065	0.37
0939f772c7a02d28b6ba319d690e57dd42194o13=1.75:e15=1.65:t12=1.55:e17=1.5	0939f772c7a02d28b6ba319d690e57dd	09/07/15	o13=1.75:e15=1.65:t12=1.55:e17=1.5	16895	1566	Fill	0.093	0.083	0.37
0939f772c7a02d28b6ba319d690e57dd42195o13=1.75:e15=1.65:t12=1.55:e17=1.5	0939f772c7a02d28b6ba319d690e57dd	10/07/15	o13=1.75:e15=1.65:t12=1.55:e17=1.5	134980	13984	Fill	0.104	0.083	0.37
0939f772c7a02d28b6ba319d690e57dd42196o13=1.75:e15=1.65:t12=1.55:e17=1.5	0939f772c7a02d28b6ba319d690e57dd	11/07/15	o13=1.75:e15=1.65:t12=1.55:e17=1.5	154102	18443	Fill	0.120	0.084	0.37
0939f772c7a02d28b6ba319d690e57dd42194o7=1.9:o4=1.7	0939f772c7a02d28b6ba319d690e57dd	09/07/15	o7=1.9:o4=1.7	928	58	Fill	0.063	0.056	0.10
0939f772c7a02d28b6ba319d690e57dd42195o7=1.9:o4=1.7	0939f772c7a02d28b6ba319d690e57dd	10/07/15	o7=1.9:o4=1.7	941	43	Fill	0.046	0.055	0.10
0939f772c7a02d28b6ba319d690e57dd42196o7=1.9:o4=1.7	0939f772c7a02d28b6ba319d690e57dd	11/07/15	o7=1.9:o4=1.7	960	32	Fill	0.033	0.053	0.10
0939f772c7a02d28b6ba319d690e57dd42194o8=1.9:o5=1.9	0939f772c7a02d28b6ba319d690e57dd	09/07/15	o8=1.9:o5=1.9	925	44	Fill	0.048	0.049	0.10
0939f772c7a02d28b6ba319d690e57dd42195o8=1.9:o5=1.9	0939f772c7a02d28b6ba319d690e57dd	10/07/15	o8=1.9:o5=1.9	962	47	Fill	0.049	0.047	0.10
0939f772c7a02d28b6ba319d690e57dd42196o8=1.9:o5=1.9	0939f772c7a02d28b6ba319d690e57dd	11/07/15	o8=1.9:o5=1.9	997	57	Fill	0.057	0.046	0.10
0939f772c7a02d28b6ba319d690e57dd42194p1=1.67:e1=1.5:o1=1.75:t1=1.5	0939f772c7a02d28b6ba319d690e57dd	09/07/15	p1=1.67:e1=1.5:o1=1.75:t1=1.5	2471	223	Fill	0.090	0.102	0.36
0939f772c7a02d28b6ba319d690e57dd42194p4=1.9:p8=1.9	0939f772c7a02d28b6ba319d690e57dd	09/07/15	p4=1.9:p8=1.9	1049	24	Fill	0.023	0.037	0.10
0939f772c7a02d28b6ba319d690e57dd42195p4=1.9:p8=1.9	0939f772c7a02d28b6ba319d690e57dd	10/07/15	p4=1.9:p8=1.9	996	37	Fill	0.037	0.036	0.10
0939f772c7a02d28b6ba319d690e57dd42196p4=1.9:p8=1.9	0939f772c7a02d28b6ba319d690e57dd	11/07/15	p4=1.9:p8=1.9	1044	30	Fill	0.029	0.035	0.10
