"placementId","ChainLength","sumImps","sumServed","sumHouse","DiscrepancyPercent","predicted"
"1","0044a86227b3126f9d03c3615712d6b5",1,184982,20262,136049,0.154993458823021,0.19638931790253
"2","0044a86227b3126f9d03c3615712d6b5",2,2095881,576064,1298899,0.105405793554119,0.248431126129117
"3","0044a86227b3126f9d03c3615712d6b5",3,37450,12247,19636,0.148651535380507,0.300472934355704
"4","0044a86227b3126f9d03c3615712d6b5",4,382211,85927,206215,0.235652558403604,0.35251474258229
"5","00554890d5324d8641d49c5f9690976d",1,189392,60292,121088,0.0423037931908423,0.0752812876382214
"6","00554890d5324d8641d49c5f9690976d",2,92633,34415,50725,0.0808890999967614,0.0934077324909472
"7","00554890d5324d8641d49c5f9690976d",3,136800,77657,46713,0.0908625730994152,0.111534177343673
"8","00554890d5324d8641d49c5f9690976d",4,1240817,714767,363349,0.131124090014885,0.129660622196399
"9","00554890d5324d8641d49c5f9690976d",5,1498656,871416,374600,0.168577712296885,0.147787067049125
"10","00654a6dde2527942913b20b3428d00c",1,89408,11334,71610,0.0722977809591983,0.122215336207796
"11","00654a6dde2527942913b20b3428d00c",2,44952,6660,33168,0.113988254137747,0.152983217634213
"12","00654a6dde2527942913b20b3428d00c",3,14259,6048,5869,0.164247142155831,0.18375109906063
"13","00654a6dde2527942913b20b3428d00c",4,1182721,450983,497381,0.198150705026798,0.214518980487047
"14","00654a6dde2527942913b20b3428d00c",5,45898,34837,4484,0.143296004183189,0.245286861913465
"15","00696d9457e958f5feedfdbf024e8dd5",1,37351,2742,30644,0.106155123022141,0.198841922920275
"16","00696d9457e958f5feedfdbf024e8dd5",2,14604,1272,10605,0.186729663105998,0.251508278031717
"17","00696d9457e958f5feedfdbf024e8dd5",3,8128,1368,3696,0.376968503937008,0.304174633143158
"18","00696d9457e958f5feedfdbf024e8dd5",4,23921,4146,12944,0.285564984741441,0.3568409882546
"19","00696d9457e958f5feedfdbf024e8dd5",5,452249,83137,178827,0.420752726926981,0.409507343366041
"20","00c4a9f5bb4d7cb028305265cd389df5",1,191700,20969,159434,0.0589306207616067,0.0559109974904449
"21","00c4a9f5bb4d7cb028305265cd389df5",2,113124,13428,90437,0.0818482373324847,0.0688834289410083
"22","00c4a9f5bb4d7cb028305265cd389df5",3,101574,23976,65902,0.115147577135881,0.0818558603915716
"23","00c4a9f5bb4d7cb028305265cd389df5",4,2568944,719293,1533193,0.123186025074895,0.0948282918421349
"24","00c6ed0588aeaff87fdbd6b9d75b915a",1,269227,38637,126746,0.385711685677885,0.110343776175436
"25","00c6ed0588aeaff87fdbd6b9d75b915a",2,71684,6163,61763,0.052424529881145,0.139086968831304
"26","00c6ed0588aeaff87fdbd6b9d75b915a",4,139843,47616,78859,0.0955929149117224,0.196573354143041
"27","00c6ed0588aeaff87fdbd6b9d75b915a",5,7559992,2270955,4550103,0.097742696024017,0.225316546798909
"28","00db4c5b20394375f490a9097083384e",1,61512,9884,49619,0.0326602939263883,0.0536333066377492
"29","00db4c5b20394375f490a9097083384e",2,26705,5312,19406,0.0744055420333271,0.066019482036099
