"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",2477,0.01,415,86.59,0.167541380702463,0.208650602409639
"2",2477,0.02,390,87.88,0.157448526443278,0.225333333333333
"3",2477,0.03,358,88.62,0.144529672991522,0.247541899441341
"4",2477,0.04,327,88.89,0.132014533710133,0.271834862385321
"5",2477,0.05,297,88.6,0.119903108599112,0.298316498316498
"6",2477,0.06,290,89.39,0.11707710940654,0.308241379310345
"7",2477,0.07,283,90.12,0.114251110213969,0.318445229681979
"8",2477,0.08,269,90.14,0.108599111828825,0.335092936802974
"9",2477,0.09,262,90.59,0.105773112636254,0.345763358778626
"10",2477,0.1,256,91.03,0.103350827614049,0.3555859375
"11",2477,0.11,254,91.85,0.102543399273314,0.361614173228346
"12",2477,0.12,254,93.01,0.102543399273314,0.366181102362205
"13",2477,0.13,234,91.44,0.0944691158659669,0.390769230769231
"14",2477,0.14,231,92.04,0.0932579733548648,0.398441558441558
"15",2477,0.15,230,92.92,0.0928542591844974,0.404
"16",2477,0.16,227,93.49,0.0916431166733952,0.411850220264317
"17",2477,0.17,224,94.01,0.0904319741622931,0.4196875
"18",2477,0.18,224,95.05,0.0904319741622931,0.424330357142857
"19",2477,0.19,222,95.72,0.0896245458215583,0.431171171171171
"20",2477,0.2,221,96.59,0.089220831651191,0.437058823529412
"21",2477,0.21,217,96.79,0.0876059749697214,0.446036866359447
"22",2477,0.22,217,97.86,0.0876059749697214,0.450967741935484
"23",2477,0.23,213,97.97,0.0859911182882519,0.459953051643193
"24",2477,0.24,212,98.81,0.0855874041178845,0.466084905660377
"25",2477,0.25,209,99.12,0.0843762616067824,0.474258373205742
"26",2477,0.26,209,100.19,0.0843762616067824,0.479377990430622
"27",2477,0.27,206,100.44,0.0831651190956803,0.487572815533981
"28",2477,0.28,204,100.94,0.0823576907549455,0.494803921568627
"29",2477,0.29,195,99.33,0.0787242632216391,0.509384615384615
"30",2477,0.3,193,99.73,0.0779168348809043,0.516735751295337
"31",2477,0.32,193,101.77,0.0779168348809043,0.527305699481865
"32",2477,0.33,188,101.18,0.0758982640290674,0.538191489361702
"33",2477,0.34,187,101.9,0.0754945498587,0.544919786096257
"34",2477,0.35,185,102.27,0.0746871215179653,0.552810810810811
"35",2477,0.36,184,102.97,0.0742834073475979,0.559619565217391
"36",2477,0.39,177,103.37,0.0714574081550262,0.584011299435028
"37",2477,0.4,174,103.21,0.0702462656439241,0.59316091954023
"38",2477,0.41,166,100.92,0.0670165522809851,0.607951807228916
"39",2477,0.42,165,101.49,0.0666128381106177,0.615090909090909
"40",2477,0.43,165,102.5,0.0666128381106177,0.621212121212121
"41",2477,0.44,160,101.3,0.0645942672587808,0.633125
"42",2477,0.45,159,101.84,0.0641905530884134,0.640503144654088
"43",2477,0.46,158,102.37,0.063786838918046,0.647911392405063
"44",2477,0.48,158,104.39,0.063786838918046,0.660696202531646
"45",2477,0.49,153,102.92,0.0617682680662091,0.672679738562092
"46",2477,0.51,151,103.84,0.0609608397254744,0.687682119205298
"47",2477,0.52,150,104.29,0.060557125555107,0.695266666666667
"48",2477,0.53,148,104.18,0.0597496972143722,0.703918918918919
"49",2477,0.54,146,104.03,0.0589422688736375,0.712534246575342
"50",2477,0.55,145,104.4,0.0585385547032701,0.72
"51",2477,0.56,143,104.19,0.0577311263625353,0.728601398601399
"52",2477,0.57,141,103.95,0.0569236980218006,0.737234042553191
"53",2477,0.58,140,104.27,0.0565199838514332,0.744785714285714
"54",2477,0.59,136,102.8,0.0549051271699637,0.755882352941176
"55",2477,0.6,125,96.99,0.0504642712959225,0.77592
"56",2477,0.61,124,97.16,0.0500605571255551,0.783548387096774
"57",2477,0.62,123,97.32,0.0496568429551877,0.791219512195122
"58",2477,0.64,122,98.25,0.0492531287848203,0.805327868852459
"59",2477,0.65,112,92.45,0.0452159870811465,0.825446428571429
"60",2477,0.69,111,94.56,0.0448122729107792,0.851891891891892
"61",2477,0.71,111,95.96,0.0448122729107792,0.864504504504505
"62",2477,0.72,110,95.94,0.0444085587404118,0.872181818181818
"63",2477,0.75,108,96.52,0.043601130399677,0.893703703703704
"64",2477,0.76,107,96.44,0.0431974162293097,0.901308411214953
"65",2477,0.77,107,97.13,0.0431974162293097,0.907757009345794
"66",2477,0.78,107,97.82,0.0431974162293097,0.914205607476636
