"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",7408,0.01,859,45.5,0.115955723542117,0.0529685681024447
"2",7408,0.02,785,49.99,0.105966522678186,0.0636815286624204
"3",7408,0.03,769,55.66,0.103806695464363,0.0723797139141742
"4",7408,0.04,680,57.52,0.091792656587473,0.0845882352941177
"5",7408,0.05,627,59.86,0.0846382289416847,0.0954704944178628
"6",7408,0.06,619,64.38,0.0835583153347732,0.104006462035541
"7",7408,0.07,602,68.11,0.0812634989200864,0.113139534883721
"8",7408,0.08,587,71.76,0.0792386609071274,0.122248722316865
"9",7408,0.09,546,72.55,0.0737041036717063,0.132875457875458
"10",7408,0.1,505,72.59,0.0681695464362851,0.143742574257426
"11",7408,0.11,488,74.88,0.0658747300215983,0.15344262295082
"12",7408,0.12,473,77.17,0.0638498920086393,0.163150105708245
"13",7408,0.13,399,70.92,0.0538606911447084,0.177744360902256
"14",7408,0.14,398,74.17,0.0537257019438445,0.186356783919598
"15",7408,0.15,383,75.2,0.0517008639308855,0.196344647519582
"16",7408,0.16,376,77.32,0.050755939524838,0.20563829787234
"17",7408,0.17,348,75.52,0.0469762419006479,0.217011494252874
"18",7408,0.18,337,76.42,0.0454913606911447,0.226765578635015
"19",7408,0.19,333,78.52,0.044951403887689,0.235795795795796
"20",7408,0.2,329,80.64,0.0444114470842333,0.245106382978723
"21",7408,0.21,320,81.58,0.0431965442764579,0.2549375
"22",7408,0.22,314,83.04,0.0423866090712743,0.264458598726115
"23",7408,0.23,314,85.82,0.0423866090712743,0.273312101910828
"24",7408,0.24,309,87.36,0.0417116630669546,0.282718446601942
"25",7408,0.25,295,86.46,0.0398218142548596,0.293084745762712
"26",7408,0.26,292,88.27,0.0394168466522678,0.302294520547945
"27",7408,0.27,287,89.46,0.0387419006479482,0.311707317073171
"28",7408,0.28,286,91.71,0.0386069114470842,0.320664335664336
"29",7408,0.29,283,93.34,0.0382019438444924,0.32982332155477
"30",7408,0.3,282,95.53,0.0380669546436285,0.338758865248227
"31",7408,0.31,277,96.46,0.0373920086393089,0.348231046931408
"32",7408,0.32,264,94.66,0.0356371490280778,0.358560606060606
"33",7408,0.33,255,93.96,0.0344222462203024,0.368470588235294
"34",7408,0.35,253,97.79,0.0341522678185745,0.386521739130435
"35",7408,0.36,251,99.32,0.0338822894168467,0.395697211155378
"36",7408,0.37,232,94.37,0.031317494600432,0.40676724137931
"37",7408,0.38,231,96.06,0.031182505399568,0.415844155844156
"38",7408,0.4,228,98.99,0.0307775377969762,0.434166666666667
