0.32,1.5,200
0.04,1.5,200
0,1.5,0
3.4;1.49;0.42,1.5,200
0,1.5,204
0.14,1.5,200
0.14,1.5,200
0.8,1.5,200
0,1.5,0
1.84;0.54;0.48;0.25;0.24,1.5,200
0,1.5,0
0,1.5,204
0.14;0.05,1.5,200
0.14;0.05;0.04;0.01,1.5,200
0,1.5,0
0.14,1.5,200
0.84;0.14;0.01,1.5,200
0.24;0.14,1.5,200
0,1.5,0
0.36,1.5,200
0.36;0.27;0.04,1.5,200
0,1.5,0
0,1.5,0
0.14;0.14,1.5,200
0.49;0.02,1.5,200
0,1.7,0
0,1.5,0
0,1.5,0
0,1.5,0
0.43;0.04,1.5,200
0.14;0.08;0.08;0.04,1.7,200
0,1.5,0
0,1.5,0
0,1.5,0
0.27;0.24;0.14,1.5,200
0,1.5,0
0,1.5,0
1.57;0.6,2.5,200
0,1.5,0
0.83;0.72;0.27;0.18,1.5,200
0,1.5,0
3.58;0.14;0.04,1.7,200
0,1.5,0
0.36,1.5,200
6.44;0.4;0.36;0.04,1.5,200
3.44;0.43,1.5,200
0,1.5,0
0.72;0.26,1.5,200
0.14;0.1,1.65,200
0.14,1.5,200
0,1.5,0
0,1.5,204
0.14,1.5,200
0,1.5,0
1.49;0.42,1.5,200
1.49;0.42;0.27,1.5,200
0.02,1.5,200
0.32;0.21;0.14,1.3,200
0.14;0.08;0.04,1.5,200
7.36;2.24;0.32,1.5,200
0.2,1.5,200
0,1.5,0
1.68;0.16;0.14,1.5,200
0,1.5,0
0,1.5,0
0.55;0.14,1.5,200
0.28;0.14,1.5,200
0,1.5,0
0.11,1.5,200
0,1.5,0
3.7;1.34;0.43;0.32;0.24,1.5,200
0.02;0.01,1.5,200
0,1.5,0
0.35;0.14,1.5,200
0.06,1.5,200
0.49;0.01,1.7,200
0,1.5,0
0.02,1.5,200
0.24;0.14,1.5,200
0,1.5,0
0.2,1.5,200
0,1.5,0
21.91;1.76;0.36,1.7,200
0,1.5,0
0.36,1.5,200
0.05,1.5,200
0,1.5,0
0.66;0.36;0.13,1.5,200
0.76;0.26;0.2,1.5,200
0,1.5,0
0.52;0.14,1.65,200
0,1.7,0
0.56;0.26,1.65,200
0,1.5,0
0,1.5,0
0,1.5,0
0,1.5,0
0,1.5,0
0.32;0.32;0.05,1.5,200
0,1.5,0
0,1.5,0
0,1.5,0
0,1.5,0
0,1.9,0|0
0.56;0.14,1.5,200
0,1.5,0
0,1.5,0
0.23,1.7,200
0,1.5,0
0,1.5,0
0,1.5,0
0,1.5,0
0.8;0.6;0.54;0.12,1.5,200
0,1.5,204
0.02,1.7,200
0.14,1.7,200
0.12,1.5,200
0,1.5,204
0,1.5,0
0,1.5,0
0.18;0.14,1.5,200
0,1.5,0
0,1.5,0
0.14,1.5,200
0,1.5,0
0,1.5,0
0.32,1.5,200
9.97;0.36;0.11,1.5,200
9.97;0.27;0.05,1.5,200
9.97,1.5,200
0.32;0.16,1.5,200
0.76;0.14,1.5,200
0.66;0.32,1.5,200
0.48;0.13,1.7,200
0,1.5,0
0,1.5,0
0.29,1.7,200
0,1.5,0
1.26,1.65,200
0,1.5,204
0,1.5,0
0,1.5,0
0,1.5,204
0,1.5,204
0,1.5,0
0.14,1.5,200
0.8;0.65;0.27,1.5,200
0.04,1.5,200
0.28;0.11;0.09,1.5,200
0,1.5,0
0,1.5,0
0.89;0.34;0.08;0.07,1.5,200
0,1.65,204
0.49;0.23,1.7,200
0,1.5,204
0.14,1.5,200
0.28;0.14,1.5,200
0.14,1.5,200
0.14;0.12;0.05,1.5,200
0,1.5,0
0.56;0.43;0.3;0.07,1.5,200
0.14;0.05,1.5,200
0.82;0.8,1.5,200
0,1.5,0
1.32;0.44;0.38;0.3;0.25,1.5,200
0.63;0.48;0.26;0.26;0.08,1.9,200|200
0,2.5,0
0.6;0.14,1.7,200
0,1.7,0
0.36;0.05,1.5,200
0,1.5,0
0,1.5,0
0,1.5,0
1.26;0.14;0.12,1.5,200
0.76;0.26;0.24,1.5,200
0.4;0.31;0.27;0.14,1.5,200
0.27;0.14,1.5,200
0,1.5,0
0.5,1.9,200|200
0,1.5,0
0.43;0.13;0.08,1.5,200
0,1.5,0
1.12;0.74;0.6;0.2;0.08,1.5,200
0.59;0.43,1.5,200
0,1.7,0
0,1.5,0
0,1.65,0
0,1.5,0
0,1.5,204
0,1.5,0
0.27;0.14,1.5,200
0,1.7,0
0,1.5,0
0,1.5,0
0,1.5,0
1.06;0.48;0.43,1.5,200
0.41;0.04,1.5,200
0.28;0.14,1.65,200
0.14,1.5,200
0.47;0.04,1.5,200
0.84;0.04,1.5,200
0.24;0.11,1.7,200
0,1.5,0
0.14;0.05,1.5,200
0.14;0.04,1.7,200
0.14,1.5,200
1.4;0.18;0.14,1.5,200
0.14,1.5,200
1.57;0.6,1.7,200
0.27;0.14,1.5,200
0,1.5,0
0,1.5,0
0.23;0.14,1.7,200
0,1.5,0
0,1.5,0
7.24;0.43;0.13,1.7,200
1.48;0.36,1.5,200
0.66;0.32,1.5,200
0.76;0.14,1.5,200
3.31;0.26;0.24;0.12;0.1,1.7,200
0,1.5,0
0,1.5,204
3.03;0.36;0.14,1.5,200
0,1.5,0
3.3;0.76;0.64;0.43;0.07,1.5,200
0.23;0.11;0.01,1.5,200
0,1.5,0
0,1.5,0
0.23;0.01,1.5,200
0.14,1.5,200
0.14,1.5,200
0,1.5,0
2.76;0.42;0.27,1.9,200
0.71;0.27,1.7,200
0.6;0.28;0.23;0.05,1.5,200
0,1.5,0
0,1.5,0
0,1.5,0
0,1.7,0
0,1.5,0
0.29,1.7,200
0.39;0.25,1.5,200
0,1.5,0
0.43;0.32,1.5,200
0,1.5,0
0,1.5,204
0.54;0.4;0.22,1.5,200
0,1.5,0
1.15;0.4;0.36,1.5,200
0.14,1.5,200
0,1.5,0
0,1.5,204
0.91;0.14,1.5,200
1.6;0.02,1.5,200
0,1.5,0
0.49,1.5,200
0.97;0.26;0.24,1.5,200
0.02;0.02,1.5,200
0,1.5,0
1.76;0.97;0.36,1.5,200
0,1.5,0
0,1.5,0
0.14;0.13,1.5,200
0,1.5,0
0,1.5,0
0,1.5,0
1.11,2.5,200
1.11,1.5,200
0,2.5,204
0.02,1.5,200
0,1.5,0
0,1.5,204
0,1.5,0
0,1.7,0
0.36,1.5,200
0.48;0.1,1.5,200
0.31,1.5,200
0.14,1.5,200
0,1.5,204
1.48,1.5,200
0,1.5,0
0.23;0.01,2.2,200
