0,0.6,0
0.03,0.6,200
0,0.6,0
0,0.6,0
0,0.6,0
0,0.6,0
0.65;0.07;0.02,1.15,200|200
0,0.95,0
0.24;0.01,1.75,200
0,0.95,0
0,0.95,0
0,0.95,0|0
0,0.95,0|0
0,0.6,0
0,0.6,0
0,0.95,0
0,1.15,0|0
0,1.75,0
1.17;0.96;0.91;0.55;0.52,1.45,200
0.4;0.24;0.2;0.14;0.08,1.3,200
0,1.3,0
0,0.6,0
0,0.6,0
0.04,1.3,200
0,1.3,0
0,1.75,0
0,0.95,0|0
0,1.45,0
0,0.95,0|0
0,1.15,0|0
0,0.95,0
1;0.91;0.65;0.6;0.36,0.95,200
0,0.95,0
0.44;0.43;0.06,0.6,200
0,1.15,0|0
0,1.3,0
0.44,1.3,200
0,0.75,0
0,0.6,0
0,0.95,0
0.58;0.01,0.95,200
0,0.6,0
0,1.3,0
0,1.3,0
0,0.95,0
0,1.45,0
0,0.6,204
0,0.55,0
0,0.6,0
0,1.45,0
0.58;0.28;0.2,0.95,200
0,0.6,0
0,0.6,0
7.76;2.1;0.6;0.23;0.21,0.6,200
0,0.95,0
0,1.75,0
0,0.6,0
0,0.6,0
0,0.6,0
0,0.95,0
0,1.2,0
0,0.6,0
0,0.6,0
0,1.2,0
0,0.6,0
0,0.95,0
0,0.75,0
0,0.75,0
0,0.95,0
0,0.95,0|0
0,0.95,204
0,0.95,0
0,1.3,0
0,0.95,0
13.67;7.9;2;1.84;0.8,1.15,200
0,1.3,0
0,0.55,0
0,0.95,0
0,0.6,0
6.4;2.4;1.6;0.38;0.31,0.95,200
0,0.95,0
0.57;0.42;0.16;0.05,0.6,200
0,0.6,0
0.05;0.02,1.3,200
0,0.75,0
0,0.75,0
0,0.75,0
0.19;0.17;0.12,0.95,200|200
0,1.3,0
0.43;0.25;0.03,0.55,200
0,1.3,0
0.36;0.25;0.11;0.04,0.55,200
0,0.6,0
0,0.6,0
0,0.6,0
0,0.6,0
0,0.6,204
2.6;1.6;0.57;0.27;0.08,1.75,200
0.4;0.06;0.02,0.95,200
0,0.95,0
0,0.95,0
0,0.6,0
0,0.6,0
0,0.6,0
0,0.6,0
0,0.6,0
0.38;0.02,0.95,200
0,1.2,0
0,0.95,0
0.02,0.95,200
0,1.45,0
0,0.95,0
0,0.95,0
0,1.45,0
0,1.2,0
0.27;0.12;0.09;0.06,1.75,200
0.78;0.53;0.32;0.21;0.1,1.45,200
0,1.2,0
1;0.17;0.16;0.15;0.07,1.3,200
0,0.6,0
0,0.6,0
0,1.45,0
0,1.15,0|0
0,1.3,0
0,1.3,0
0,0.75,0
0,0.6,0
0,0.55,0
0,0.75,0
0,0.6,0
0,1.45,0
0,1.45,0
0.12,0.6,200
2.39;0.8;0.59;0.55;0.42,0.95,200
0.58;0.43;0.25;0.05;0.04,0.95,200
1.2;1.19;0.8;0.43;0.24,1.15,200
2.11;0.8;0.66;0.25;0.04,1.15,200
0,1.75,0
1.12;0.64;0.43;0.29;0.25,1.3,200
0.38;0.31;0.04,0.95,200|200
0,0.6,0
0.16,1.2,200
0,0.95,0
0,0.95,0
0,0.6,0
0,0.6,0
0,1.2,0
0,1.15,0|0
0,1.75,204
0.16;0.13;0.02,0.95,200
0,0.55,0
2.01;0.76,1.75,200
0.8;0.27;0.21;0.2;0.12,0.95,200
0,0.95,0
0,0.55,0
0,0.6,0
0,0.95,0
0,0.6,0
0,1.2,0
0,0.95,0
0.19;0.15,1.75,200
0,0.75,0
0,1.3,0
0,1.3,0
0,0.75,0
0,1.45,0
0,0.95,0
0,1.75,0
0.29;0.28;0.07,1.75,200
5.16;2.12;1.84;0.77;0.74,1.3,200
3.57;0.2;0.12,0.55,200
0,0.75,0
0,0.55,0
0,0.75,0
0,0.75,0
0.16;0.02,1.2,200
0,0.95,0
0.43;0.14;0.08,1.3,200
0.8;0.71;0.65;0.44;0.32,0.55,200
0.43;0.08;0.07;0.04,0.95,200
0.72;0.52;0.21;0.16;0.15,1.3,200
0,0.95,0
0,0.75,0
0,1.2,0
0,0.6,0
0,0.95,0|0
0,0.6,0
0,0.95,204
0,0.6,0
0,1.75,0
0,0.95,0|0
0,1.3,0
0,1.3,0
0.4,0.6,200
0,0.75,0
0,1.45,0
0.8;0.34;0.27;0.21;0.2,0.95,200|200
0,0.6,0
0,1.15,0|0
0.8;0.71;0.55;0.4;0.32,1.45,200
2.39;0.25;0.08;0.04,1.3,200
2.04;1.2;0.44;0.33;0.33,0.95,200|200
0,1.15,0|0
0,0.75,0
0,0.95,0
0,0.75,0
0,0.6,0
0,0.95,0|0
2.26;0.85;0.8;0.36;0.12,0.6,200
0,0.6,204
0,0.6,0
0,0.6,0
0,0.55,0
0,0.6,0
0,0.6,0
0,0.6,0
0,0.95,0
0,0.95,0
0.07;0.02,0.95,200
0.44;0.43;0.2;0.09;0.05,1.75,200
0.04;0.01,0.95,200
0,0.95,0
0,0.95,0
0,0.6,0
0,1.2,0
2.26;0.8;0.58;0.22;0.08,0.6,200
0,0.95,0
0,0.95,0
0,0.6,0
0,1.2,0
0,0.6,0
0.8;0.67;0.54;0.45;0.43,1.2,200
0.8;0.25;0.1;0.08;0.06,1.75,200
0,0.6,0
0.2;0.17;0.02,0.95,200|200
1;0.1;0.04,0.6,200
0,0.75,0
0,0.75,0
0.05;0.01,0.95,200
0,0.95,0
0,0.75,0
0,1.75,0
0,0.6,0
0,0.75,0
0,1.3,0
0,0.6,0
0,0.95,0
0,1.45,0
0.96;0.93;0.43;0.1;0.04,1.3,200
0,0.55,0
0,0.6,0
0,0.6,0
0,1.45,0
9.97;0.8;0.57;0.55;0.28,0.6,200
0,0.95,0
0,0.6,0
0,0.95,0
0,0.6,0
0,0.6,0
0,0.6,0
0.03,0.6,200
0,0.6,0
0,0.95,0
0,1.45,0
0,0.95,0
2.66;2.51;1.37;0.6;0.4,1.15,200
0,0.95,0
0,0.95,0
0,0.95,0
0,0.95,0
0,0.6,0
0,0.95,0
0,0.6,0
0,0.95,0
0,0.95,0
0,0.95,0|0
0,0.95,0
0,0.75,0
0,0.95,204
0,0.6,0
0,0.75,0
0,1.45,0
0.28;0.05;0.01,0.95,200|200
0,1.15,0|0
0,0.6,0
0.04,0.55,200
0,0.6,0
0,0.6,0
0,0.75,0
0,0.95,0|0
0,1.45,0
0,1.3,0
0,0.95,0|0
