1.54;0.4;0.36;0.24;0.09,2.45,200
0.2;0.14,1.8,200
0.36,1.5,200
0.14,2.45,200
1.09;0.14;0.1;0.05,2.45,200
0.14,2.45,200
0.13,3,200
0,2.2,0
0,2.2,0
0,2.45,0
0.36,2.45,200
93.93;1.44;0.92;0.48;0.12,2.45,200
0.89;0.39;0.12;0.08,2.2,200
0.32;0.27;0.16;0.14;0.12,2.45,200
0.12;0.05,2.7,200
0,3,0
1.42;0.12;0.08,3,200
1.36;1.24;0.3;0.16,2.2,200
2.57;0.13,1.5,200
0.04,2,200|200
0,2.45,0
0,1.5,204
0,3,0
0.32;0.27;0.08,2,200|200
3.86;2.24;0.43;0.27;0.24,2.4,200
0.21;0.01,2,200|200
0.32,1.8,200
0.36;0.12,3,200
0,2.2,204
0,2.45,0
0.12,2.45,200
0,2.45,204
0,1.8,0
0.28;0.19,2.4,200|200
0.04;0.02,2,200|200
1.13;0.36;0.12,1.8,200
0.91;0.4,1.5,200
0,2.45,0
0,2.2,0|0
0,2.45,0
0.14,1.5,200
0,2.4,0|0
0,2.45,0
0.21,1.8,200
2.29;0.26;0.26,2.2,200|200
0.89;0.4;0.25;0.12,2.2,200
0,2.4,200|204
3.32;0.39;0.36;0.32,1.5,200
6;4.4;1.27;0.36;0.1,3,200
0.68;0.24;0.16,2.45,200
2.44;0.74;0.6;0.43;0.18,2.4,200
0,1.5,0
0.43;0.11;0.08,2.2,200|200
0.08;0.05;0.04,2.2,200|200
0.88;0.43;0.17;0.12;0.09,2.2,200
2.4;1.32;0.44;0.3;0.14,2.45,200
0.17;0.06,2.2,200
6.26;1.02;0.46;0.22,2.4,200
0.14;0.08;0.08;0.04,2.45,200
2.85;2.1;0.72;0.32;0.21,2.7,200
0,3,0
0,1.5,0
0.4;0.12;0.08;0.05,3,200
0.53;0.24;0.17;0.12;0.04,2.2,200
0,2.45,0
0.36;0.32;0.24,2.45,200
3.89;2.56;1.59;1.07;0.32,2.45,200
0,2.45,0
0.12;0.04,2.45,200
0,1.8,0
1.19;0.54;0.28;0.27;0.26,2.2,200
0,2,0|0
0.56;0.36,2.2,200
0.02;0.01,1.8,200
