0,1.25,204
0,0.45,0
0,1.25,204
0,0.45,204|204
0,0.45,0
0.01,0.45,200|200
0,1.25,204
0,0.45,204
0.01,0.45,200
0,0.45,204
0,1.25,204
0,0.45,204
0,1.25,204
0,1.25,204
0,0.45,204
0,1.25,204
0,0.45,0
0.01,0.45,200
0,0.45,204
0,0.15,0
0,0.45,0
0.08,1.25,200
0,0.45,204|204
0,1.25,0
0,0.45,204|204
0,0.45,204|204
0,0.15,204
0,1.25,204
0,0.45,0
0.36,0.45,200
0,0.15,0
0,0.45,204|204
0,1.25,0
0,0.15,204
0,0.45,0
0.15,0.45,200
0,0.15,204
0,0.45,204|204
0,0.45,0
0,0.15,0
0,0.45,204
0,1.25,204
0,1.25,0
0,0.45,204
0,0.15,204
0.09,0.15,200
0.01,1.25,200
0,0.45,204
0,1.25,0
0,1.25,204
0,1.25,204
0.01,0.45,200
0.08;0.03,0.15,200
0,1.25,0
0.21,0.45,200
0,1.25,204
0,0.45,204
0,0.45,0|0
0,0.45,204|204
0,0.45,0
0.1,1.25,200
0,0.45,0
0,1.25,204
0,0.45,204
0,0.45,204|204
0.01,0.45,200|200
0.01,0.45,200
0,1.25,0
0,0.45,0
0,0.45,200|204
0.09,0.45,200
0,1.25,204
0,0.45,0
0,0.45,0
0.04,0.45,204|200
0,0.15,204
0,0.45,0
0,1.25,204
0,0.45,204
0,0.45,0
0,0.45,204
0.12,0.45,200|200
0,0.45,204|204
0,1.25,0
0,0.45,0
0,0.15,204
0,0.45,0|0
0,0.45,204
0,0.45,204
0,0.45,204|204
0,0.45,204|204
0,0.45,0
0,1.25,0
0.04,0.45,200
0,0.45,204
0,1.25,0
0,0.45,0
0,0.45,0|0
0,0.15,204
0,0.45,204|204
0,0.45,204
0,0.45,0|0
0,0.45,0
0.4;0.26;0.11,0.45,200
0,0.45,204
0,0.45,0
0,0.15,0
0,0.15,0
0.82;0.48,1.25,200
0,0.45,204
0,1.25,0
0.03;0.02,0.45,200
0,1.25,204
0,0.15,0
0,0.45,204
0,0.45,204
0,0.15,204
0,0.45,0
0,0.15,204
0,0.45,204
0,1.25,0
0,0.45,0|0
0,0.15,204
0,1.25,0
0,0.45,0|0
0.01,0.45,200
0,0.45,204|204
0,0.45,0
0.01,1.25,200
0,1.25,0
0,1.25,0
0,0.45,204|204
0,0.45,0|0
0,0.45,0
0,0.45,204|204
0.09,0.45,200
0.02,0.45,200
0,0.45,204
0,0.15,204
0,0.45,0|0
0,0.45,204
0,1.25,0
0,0.15,0
0.67,1.25,200
0.01,1.25,200
0,0.45,204
0,1.25,204
0.04,0.45,200
0,1.25,0
0,0.15,0
0,0.45,204|204
0.11;0.04,0.15,200
0.8,1.25,200
0,0.45,0
0,0.45,204|204
0,1.25,204
0,0.45,0
0.18,0.45,200
0,0.45,0
0,0.45,0
0,0.45,204
0.37,0.45,200
1.32,0.65,200
0,0.45,0|0
0,0.45,204|204
0,0.45,204
0,0.45,0
0,0.45,204
0,0.45,204|204
0,1.25,204
0,0.15,204
0,0.15,0
0.15;0.03;0.01,0.45,200
0.42,0.15,200
0.66,1.25,200
0,0.45,0
0,0.45,0
0,0.15,0
0,0.45,204
0,0.45,204
0.3;0.08,0.45,200
1.32,0.45,200
0,0.15,204
0,1.25,204
0.36,0.15,200
0,0.45,204
0,1.25,204
0,1.25,204
0,0.15,0
