0,2.2,0
1.36;0.36;0.22;0.12;0.1,1.7,200|200
0.8;0.3;0.04;0.03;0.01,1.9,200|200
0,1.3,0
7.79;1.32;1.03;1.01;0.55,1.3,200
0,2.5,0
0,1.9,0|0
7.37;6.04;2.94;1.59;1.01,2.5,200
0,1.7,204|204
0.8;0.27;0.12;0.02,2.5,200
1.36;0.93;0.48;0.36;0.26,1.3,200
0,2.5,0
0,1.7,0|0
0,1.7,0|0
0,1.7,0
0,2.5,0
0,2.5,0
0,1.7,0|0
0,1.3,0
5.32;2.32;1.42;0.05,1.7,200
0,1.3,0
0.14;0.12;0.01,1.9,200|200
0,1.3,0
0,1.9,0|0
0,1.7,0|0
0.93;0.12;0.06,1.3,200
0,1.7,0
0,1.3,0
0,1.3,204
0,1.3,0
8;1.32;0.96;0.77;0.57,1.7,200
0,1.7,0|0
0,1.7,0
0,1.7,0|0
0,2.5,0
0,1.7,0|0
0.2,1.9,200|200
0,1.9,0|0
0,1.9,0|0
0,1.3,0
0,1.9,0|0
0,1.9,0|0
0,1.7,0
0,1.7,0
2.52;1.2;0.76;0.44;0.38,1.9,200|200
0,1.7,0|0
0,1.3,0
0,1.7,0
0,1.7,0
0,2.2,0
1.68;1.64;0.91;0.41,1.7,200
2.75;1.86;0.64;0.45;0.21,1.9,200
0,1.7,0
0,2.2,0
0.2;0.2,1.9,200|200
0,1.3,204
0,1.7,0
0,1.3,0
0,1.7,0
0,2.2,0
0,1.9,0|0
0,1.9,0|0
0,2.2,204
0,1.7,0
0.12;0.02,1.9,200|200
0,1.9,0|0
3.64;2.32;0.7;0.6;0.36,2.2,200
0,2.2,0
0,1.3,204
0,1.7,204|204
0,1.7,0
0,2.2,0
0.08;0.02,1.9,200|200
2.88;2.6;2.41;2.08;0.69,1.9,200
0,1.9,0|0
0,1.9,0|0
0.02,2.5,200
0,1.7,0
0,1.9,0|0
7.8;2.63;1.18;0.94;0.89,1.9,200
4.83;1.2;1.07;1.07;0.7,2.2,200
0,1.3,0
0,1.7,0
0,2.5,0
0,1.7,0|0
0,1.9,0|0
0.09,1.7,200|200
0,1.9,0|0
0,1.7,0|0
0,2.2,0
0,1.7,204
1.22;0.5;0.21;0.05;0.02,2.2,200
0.36;0.19;0.19;0.17;0.16,1.9,200|200
7.97;4.8;2.67;1.61;0.96,1.7,200
0,2.2,0
0,1.3,0
0,2.2,0
0,1.3,204
0.16;0.08,1.7,200
2.63;2;1.23;0.8;0.54,1.9,200
0,1.3,0
0,1.7,0
0,1.9,0|0
0,2.5,0
1.2;0.78;0.59;0.32;0.24,1.7,200
0,1.3,0
0.07,1.3,200
0,2.2,204
0,1.3,0
0,2.2,0
0,2.2,0
0,1.3,0
0,2.5,0
0,2.2,0
0.05,2.5,200
0,2.2,0
0,2.5,204
0,2.5,0
0,1.3,0
0,1.9,204|204
0,1.7,0
0,1.9,0|0
0,1.9,0|0
1.48;0.72;0.55;0.31;0.28,1.9,200|200
0,2.2,0
2.8;1.86;1.56;0.8;0.7,2.2,200
2.4;0.86;0.36;0.35;0.19,1.9,200
0,1.7,0|0
0,1.9,0|0
0.68;0.08,1.3,200
0.31;0.12;0.02,1.7,200
0,2.5,0
0,1.3,0
0,1.7,0
0,2.2,0
0,2.5,0
0,1.9,0|0
0.7;0.12,2.2,200
0,2.2,0
0,1.3,0
0,1.9,204|204
0,1.9,0|0
0,1.3,0
2;0.88;0.8;0.69;0.68,1.9,200
0.88,1.7,200
0,2.5,0
9.16;4.8;3.2;2.8;0.76,1.9,200
0,2.2,0
0,1.9,0|0
0,1.9,0|0
0.32;0.02,2.2,200
2.6;2.19;0.8;0.65;0.5,1.9,200
0,1.7,0|0
0,1.7,0|0
0,1.9,0|0
0.05;0.02,1.7,200
0,2.2,0
2;1.86;1.66;1.23;1.13,2.2,200
0,1.7,0|0
0,1.9,0|0
0,1.9,0|0
0,2.5,204
0,2.2,0
0,1.3,0
0,1.7,0
0,1.7,0|0
1.56;0.6;0.56;0.36;0.07,2.2,200
1.56;1.27;0.19;0.14;0.08,1.7,200
1.23;1.03;0.52;0.44;0.4,1.7,200
0.02,2.2,200
6.05;2;0.6;0.07,1.9,200
0,2.2,0
0,1.7,204
0,1.9,0|0
0.39;0.08;0.02,1.9,200|200
0,1.9,0|0
0,1.7,0|0
0,1.3,0
0,1.7,0
0.07,1.7,200
1.8;0.7;0.19,2.2,200
0,1.9,0|0
0,1.7,0|0
1.86;0.8;0.08,1.7,200|200
2.74;2.03;1.88;1.58;1.31,1.3,200
0,1.9,0|0
0,1.3,0
0,2.2,204
0,2.2,0
0,1.3,204
0,1.9,0|0
0,2.2,0
0,1.3,0
0,1.7,204|204
0,1.9,204|204
2.63;2.4;1.21;0.52;0.28,1.7,200
0.96;0.39;0.02,1.7,204|200
0,1.9,204|204
0,1.7,0|0
0,1.9,0|0
0,1.9,0|0
1.86,1.7,200
0,2.2,0
1.13;1;0.19;0.01,1.7,200|200
0.22;0.13,1.9,200|200
0,1.3,0
0,1.7,0|0
0,1.3,0
0,1.7,200|204
4;3.2;3.18;1.62;1.15,2.5,200
1.84;1.77;1.01;0.95;0.8,1.9,200|200
0,2.5,0
7.34;4.35;1.18;1.12;0.88,2.5,200
1.6;0.59;0.54;0.52;0.02,1.7,200
0.8;0.62;0.55;0.54;0.24,1.7,200|200
0,1.9,0|0
0,1.7,0
0,2.2,0
0,1.7,0
0,1.7,0
0.08,1.9,200|200
0,1.7,0
0,2.2,0
0,1.7,0|0
0,1.7,0|0
0,1.3,0
0.03,1.9,200|200
0,1.7,0
0,2.5,0
0,1.9,0|0
1;0.93;0.43;0.33;0.3,2.5,200
